Moneda,Fecha,Valor
TZS,2023-06-30,2415.83356403
UAH,2023-06-30,36.84749319
UGX,2023-06-30,3670.02704444
UNI,2023-06-30,0.19104763
USD,2023-06-30,1.0
UYU,2023-06-30,37.46875591
UZS,2023-06-30,11534.59815493
VAL,2023-06-30,1772.62204265
VEB,2023-06-30,2790021998.701168
VED,2023-06-30,27.90021999
VEF,2023-06-30,2790021.99870117
VES,2023-06-30,27.90021999
VND,2023-06-30,23585.08698235
VUV,2023-06-30,118.92018212
WST,2023-06-30,2.68311399
XAF,2023-06-30,600.51740575
XAG,2023-06-30,0.04393673
XAU,2023-06-30,0.000521
XBT,2023-06-30,3.29e-05
XCD,2023-06-30,2.70246004
XDR,2023-06-30,0.75168442
XLM,2023-06-30,9.26287776
XOF,2023-06-30,600.51740575
XPD,2023-06-30,0.00081086
XPF,2023-06-30,109.24616747
XPT,2023-06-30,0.00110752
XRP,2023-06-30,2.13390272
YER,2023-06-30,250.34207306
ZAR,2023-06-30,18.83564126
ZMK,2023-06-30,17716.90960555
ZMW,2023-06-30,17.71690961
ZWD,2023-06-30,361.9
ZWL,2023-06-30,5738.52802313
